datetime,raw_adc_value,stimulus
7/23/2025 23:30:22,691,eyes closed
7/23/2025 23:30:27,722,eyes closed
7/23/2025 23:30:32,706,eyes closed
7/23/2025 23:30:36,789,eyes closed
7/23/2025 23:30:41,1006,eyes closed
7/23/2025 23:30:46,732,eyes closed
7/23/2025 23:30:51,1006,eyes closed
7/23/2025 23:30:56,1016,eyes closed
7/23/2025 23:31:01,1010,eyes closed
7/23/2025 23:31:07,703,eyes closed
7/23/2025 23:31:12,717,eyes closed
7/23/2025 23:31:18,1013,eyes closed
7/23/2025 23:31:23,702,eyes closed
7/23/2025 23:31:28,700,eyes closed
7/23/2025 23:31:34,786,eyes closed
7/23/2025 23:31:40,702,eyes open
7/23/2025 23:31:45,1008,eyes open
7/23/2025 23:31:49,792,eyes open
7/23/2025 23:31:54,713,eyes open
7/23/2025 23:32:00,1010,eyes open
7/23/2025 23:32:05,1011,eyes open
7/23/2025 23:32:10,704,eyes open
7/23/2025 23:32:15,796,eyes open
7/23/2025 23:32:20,741,eyes open
7/23/2025 23:32:25,1008,eyes open
7/23/2025 23:32:30,1009,eyes open
7/23/2025 23:32:34,709,eyes open
7/23/2025 23:32:39,1008,eyes open
7/23/2025 23:32:44,1008,eyes open
7/23/2025 23:32:49,1009,"eyes open, resonance breathing"
7/23/2025 23:32:54,701,"eyes open, resonance breathing"
7/23/2025 23:33:02,722,"eyes open, resonance breathing"
7/23/2025 23:33:06,711,"eyes open, resonance breathing"
7/23/2025 23:33:11,699,"eyes open, resonance breathing"
7/23/2025 23:33:16,936,"eyes open, resonance breathing"
7/23/2025 23:33:21,672,"eyes open, resonance breathing"
7/23/2025 23:33:26,664,"eyes open, resonance breathing"
7/23/2025 23:33:30,657,"eyes open, resonance breathing"
7/23/2025 23:33:37,1006,"eyes open, resonance breathing"
7/23/2025 23:33:42,702,"eyes open, resonance breathing"
7/23/2025 23:33:49,703,"eyes open, resonance breathing"
7/23/2025 23:33:55,873,"eyes open, resonance breathing"
7/23/2025 23:34:00,714,"eyes open, resonance breathing"
7/23/2025 23:34:05,705,"eyes open, resonance breathing"
