Channel,Delta,Theta,Alpha,Beta,Gamma
Fp1.,5.46e-09,4.24e-10,1.03e-10,1.83e-10,7.99e-11
Fp2.,5.06e-09,3.14e-10,8.94e-11,1.38e-10,3.79e-11
Fpz.,4.32e-09,3.15e-10,9.07e-11,1.43e-10,3.64e-11
Af7.,4.41e-09,4.03e-10,1.06e-10,2.03e-10,6.52e-11
Af3.,4.18e-09,3.80e-10,1.03e-10,1.98e-10,6.20e-11
Afz.,2.09e-09,2.79e-10,1.06e-10,1.91e-10,3.09e-11
Af4.,2.56e-09,2.31e-10,8.97e-11,1.54e-10,2.82e-11
Af8.,4.42e-09,2.61e-10,7.91e-11,1.41e-10,5.22e-11
F7..,1.93e-09,2.53e-10,9.25e-11,1.92e-10,5.19e-11
F5..,2.17e-09,2.99e-10,1.16e-10,2.35e-10,5.61e-11
F3..,1.58e-09,2.52e-10,9.76e-11,1.87e-10,2.79e-11
F1..,1.60e-09,3.01e-10,1.20e-10,2.36e-10,3.46e-11
Fz..,1.56e-09,3.03e-10,1.18e-10,2.26e-10,3.29e-11
F2..,1.51e-09,2.62e-10,1.06e-10,2.03e-10,3.00e-11
F4..,1.42e-09,2.33e-10,9.61e-11,1.82e-10,2.72e-11
F6..,1.45e-09,1.82e-10,7.79e-11,1.53e-10,2.99e-11
F8..,2.04e-09,1.74e-10,6.03e-11,1.10e-10,3.33e-11
